[2025-10-15 13:34:11+0300] [INFO] Starting model server on 23991 for compression
[2025-10-15 13:34:11+0300] [INFO] which python: /usr/bin/python
Python 3.6.8
[2025-10-15 13:34:11+0300] [INFO] which uvicorn: /export/home/proiecte/aux/ovidiu.ghibea/.local/bin/uvicorn
[2025-10-15 13:34:11+0300] [INFO] key env: MCP_TRANSPORT=stdio MCP_BASE_DIR=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/MCP-main
[2025-10-15 13:34:11+0300] [INFO] SLURM_JOB_GPUS=2 CUDA_VISIBLE_DEVICES=0
[2025-10-15 13:34:11+0300] [INFO] Uvicorn (srun step) PID: 1557738
[2025-10-15 13:34:11+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:13+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:15+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:17+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:19+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:21+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:23+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:25+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:27+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:29+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:31+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:55+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:34:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:01+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:03+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:05+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:07+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:09+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:11+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:13+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:15+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:17+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:19+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:21+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:23+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:25+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:27+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:29+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:31+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:33+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:35+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:37+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:39+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:55+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:35:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:04+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:32+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:40+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:42+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:44+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:46+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:48+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:50+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:52+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:54+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:56+0300] [INFO] Waiting for model server health...
[2025-10-15 13:36:58+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:00+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:04+0300] [INFO] Waiting for model server health...
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
